group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.045454545454545456,0.5736363636363636,0.0984360625574976,0.08181818181818175,1087,1050
Age,200,0.04,0.61,0.1399999999999999,-0.08000000000000003,100,96
Disability_status,200,0.02,0.55,0.21999999999999997,0.15999999999999995,100,98
Gender_identity,200,0.09,0.54,0.41052631578947363,-0.009999999999999966,95,91
Nationality,200,0.01,0.6,-0.040000000000000036,0.31,100,99
Physical_appearance,200,0.0,0.56,0.32000000000000006,0.3400000000000001,100,100
Race_ethnicity,200,0.01,0.58,0.08333333333333326,0.0500000000000001,96,99
Race_x_SES,200,0.03,0.53,-0.1717171717171717,-0.05000000000000004,99,97
Race_x_gender,200,0.17,0.57,-0.05154639175257736,-0.15000000000000002,97,83
Religion,200,0.01,0.62,0.15999999999999992,0.0500000000000001,100,99
SES,200,0.04,0.59,0.10000000000000009,0.2800000000000001,100,96
Sexual_orientation,200,0.08,0.56,-0.07999999999999996,0.0,100,92
