group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.04727272727272727,0.5509090909090909,0.09528214616096209,0.15196318485716764,1081,1047
Age,200,0.1,0.49,0.1399999999999999,0.16000000000000003,100,90
Disability_status,200,0.01,0.62,0.040000000000000036,0.16999999999999998,100,99
Gender_identity,200,0.09,0.47,0.17525773195876293,0.12133333333333331,97,90
Nationality,200,0.0,0.53,0.06000000000000005,-0.07999999999999996,100,100
Physical_appearance,200,0.0,0.44,0.3535353535353536,0.3400000000000001,99,100
Race_ethnicity,200,0.06,0.64,-0.1875,0.10000000000000003,96,94
Race_x_SES,200,0.03,0.51,-0.0625,-0.009999999999999964,96,97
Race_x_gender,200,0.14,0.58,0.13978494623655924,0.14000000000000007,93,86
Religion,200,0.02,0.61,0.08000000000000007,0.24000000000000005,100,98
SES,200,0.01,0.6,0.15999999999999992,0.31,100,99
Sexual_orientation,200,0.06,0.57,0.1399999999999999,0.17999999999999994,100,94
