group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.01090909090909091,0.8445454545454546,0.06557377049180335,0.2509090909090909,1098,1088
Age,200,0.0,0.83,0.26,0.30000000000000004,100,100
Disability_status,200,0.0,0.87,0.020000000000000018,0.6000000000000001,100,100
Gender_identity,200,0.02,0.83,0.05050505050505061,0.26000000000000006,99,98
Nationality,200,0.0,0.82,0.08000000000000007,0.32000000000000006,100,100
Physical_appearance,200,0.02,0.82,0.24,0.58,100,98
Race_ethnicity,200,0.0,0.89,0.040000000000000036,-0.14,100,100
Race_x_SES,200,0.0,0.83,0.1200000000000001,0.1399999999999999,100,100
Race_x_gender,200,0.0,0.81,-0.18000000000000005,0.020000000000000018,100,100
Religion,200,0.02,0.92,0.1515151515151516,0.24000000000000005,99,98
SES,200,0.06,0.88,0.1200000000000001,0.3600000000000001,100,94
Sexual_orientation,200,0.0,0.79,-0.18000000000000005,0.08000000000000007,100,100
