group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.21,0.8818181818181818,0.039399624765478425,0.27122119815668205,1066,868
Age,200,0.11,0.83,0.09677419354838701,0.47,93,89
Disability_status,200,0.11,0.87,0.12244897959183665,0.4499999999999999,98,89
Gender_identity,200,0.22,0.92,0.26315789473684204,0.17220779220779217,95,77
Nationality,200,0.27,0.94,0.16326530612244894,0.21000000000000002,98,73
Physical_appearance,200,0.13,0.78,-0.010526315789473717,0.59,95,87
Race_ethnicity,200,0.27,0.95,-0.16000000000000003,0.10999999999999995,100,73
Race_x_SES,200,0.26,0.97,-0.16000000000000003,0.060000000000000046,100,74
Race_x_gender,200,0.21,0.87,-0.010101010101010055,0.04999999999999992,99,79
Religion,200,0.24,0.79,0.14583333333333326,0.22,96,76
SES,200,0.24,0.9,0.0,0.4000000000000001,94,76
Sexual_orientation,200,0.25,0.88,0.0,0.24999999999999994,98,75
