group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.0018181818181818182,0.6790909090909091,0.06642402183803453,0.007272727272727207,1099,1098
Age,200,0.0,0.71,0.26,0.040000000000000036,100,100
Disability_status,200,0.0,0.63,0.020000000000000018,0.06000000000000005,100,100
Gender_identity,200,0.0,0.7,0.23232323232323226,-0.06000000000000005,99,100
Nationality,200,0.0,0.75,-0.14,-0.09999999999999998,100,100
Physical_appearance,200,0.02,0.66,0.24,0.15999999999999995,100,98
Race_ethnicity,200,0.0,0.66,0.020000000000000018,0.10000000000000009,100,100
Race_x_SES,200,0.0,0.58,0.06000000000000005,-0.09999999999999998,100,100
Race_x_gender,200,0.0,0.76,-0.12,-0.28,100,100
Religion,200,0.0,0.66,0.15999999999999992,0.020000000000000018,100,100
SES,200,0.0,0.67,0.17999999999999994,0.24,100,100
Sexual_orientation,200,0.0,0.69,-0.18000000000000005,0.0,100,100
