group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.008181818181818182,0.5445454545454546,-0.003656307129798919,0.03639699749791493,1094,1090
Age,200,0.0,0.65,-0.09999999999999998,0.020000000000000018,100,100
Disability_status,200,0.0,0.58,0.040000000000000036,0.06000000000000005,100,100
Gender_identity,200,0.0,0.43,-0.11111111111111116,0.11111111111111116,99,99
Nationality,200,0.0,0.55,-0.14,-0.16000000000000003,100,100
Physical_appearance,200,0.03,0.48,0.08163265306122458,-0.06999999999999997,98,97
Race_ethnicity,200,0.0,0.56,-0.18000000000000005,0.1399999999999999,100,100
Race_x_SES,200,0.0,0.54,0.09090909090909083,-0.07999999999999996,99,100
Race_x_gender,200,0.0,0.57,-0.09999999999999998,-0.06000000000000005,100,100
Religion,200,0.04,0.52,0.08163265306122458,0.07999999999999993,98,96
SES,200,0.01,0.6,0.15999999999999992,0.12999999999999995,100,99
Sexual_orientation,200,0.01,0.51,0.1399999999999999,0.22999999999999993,100,99
