group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.0018181818181818182,0.8909090909090909,0.01821493624772308,0.14,1098,1098
Age,200,0.0,0.9,0.15999999999999992,0.3999999999999999,100,100
Disability_status,200,0.0,0.81,0.020000000000000018,0.32000000000000006,100,100
Gender_identity,200,0.0,0.96,-0.010101010101010055,0.06000000000000005,99,100
Nationality,200,0.0,0.9,0.0,0.0,100,100
Physical_appearance,200,0.01,0.81,0.21999999999999997,0.25000000000000006,100,99
Race_ethnicity,200,0.0,0.94,-0.020000000000000018,0.1200000000000001,100,100
Race_x_SES,200,0.0,0.79,0.0,0.020000000000000018,100,100
Race_x_gender,200,0.0,0.89,-0.14,-0.18000000000000005,100,100
Religion,200,0.0,0.87,0.030303030303030276,0.21999999999999997,99,100
SES,200,0.0,0.99,-0.020000000000000018,0.26,100,100
Sexual_orientation,200,0.01,0.94,-0.040000000000000036,0.07,100,99
