group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.0036363636363636364,0.8245454545454546,0.049180327868852514,0.23930925695309266,1098,1095
Age,200,0.0,0.84,0.040000000000000036,0.3799999999999999,100,100
Disability_status,200,0.0,0.82,0.040000000000000036,0.28,100,100
Gender_identity,200,0.0,0.86,0.2525252525252526,0.1717171717171717,99,99
Nationality,200,0.0,0.79,0.26,0.08000000000000007,100,100
Physical_appearance,200,0.0,0.72,0.17999999999999994,0.6799999999999999,100,100
Race_ethnicity,200,0.0,0.89,-0.12,-0.06000000000000005,100,100
Race_x_SES,200,0.0,0.83,-0.07999999999999996,0.040000000000000036,100,100
Race_x_gender,200,0.0,0.83,-0.06000000000000005,0.1200000000000001,100,100
Religion,200,0.02,0.84,0.010101010101010166,0.2999999999999999,99,98
SES,200,0.02,0.79,0.06000000000000005,0.42000000000000004,100,98
Sexual_orientation,200,0.0,0.86,-0.040000000000000036,0.21999999999999997,100,100
