group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.48454545454545456,0.9372727272727273,0.025116279069767433,0.2372727272727272,1075,567
Age,200,0.37,0.93,0.134020618556701,0.44999999999999996,97,63
Disability_status,200,0.39,0.98,-0.07999999999999996,0.30999999999999994,100,61
Gender_identity,200,0.52,0.96,-0.010309278350515427,0.08000000000000003,97,48
Nationality,200,0.45,0.85,0.1428571428571428,0.23000000000000004,91,55
Physical_appearance,200,0.41,0.92,0.19999999999999996,0.49000000000000005,100,59
Race_ethnicity,200,0.58,0.96,-0.09090909090909094,0.10000000000000003,99,42
Race_x_SES,200,0.6,0.96,-0.010309278350515427,0.2,97,40
Race_x_gender,200,0.36,0.93,0.020000000000000018,0.18,100,64
Religion,200,0.57,0.93,0.07216494845360821,0.07000000000000003,97,43
SES,200,0.41,0.96,0.010309278350515427,0.39000000000000007,97,59
Sexual_orientation,200,0.67,0.93,-0.09999999999999998,0.10999999999999996,100,33
