group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.22636363636363635,0.8845454545454545,0.06049149338374282,0.269407486631016,1058,850
Age,200,0.22,0.78,0.022222222222222143,0.38000000000000006,90,78
Disability_status,200,0.04,0.89,0.16326530612244894,0.5599999999999999,98,96
Gender_identity,200,0.22,0.94,-0.06382978723404253,0.3545454545454546,94,77
Nationality,200,0.37,0.95,-0.030303030303030276,0.19000000000000003,99,63
Physical_appearance,200,0.14,0.78,0.28421052631578947,0.64,95,86
Race_ethnicity,200,0.29,0.94,0.1399999999999999,0.12999999999999998,100,71
Race_x_SES,200,0.3,0.96,-0.030303030303030276,0.12000000000000004,99,70
Race_x_gender,200,0.18,0.85,0.05154639175257736,-0.040000000000000036,97,82
Religion,200,0.29,0.86,0.06382978723404253,0.21000000000000002,94,71
SES,200,0.18,0.93,0.05154639175257736,0.4600000000000001,97,82
Sexual_orientation,200,0.26,0.85,0.010526315789473717,-0.04,95,74
