group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.4681818181818182,0.9445454545454546,0.04726598702502316,0.23676836861768366,1079,584
Age,200,0.32,0.94,0.061224489795918435,0.42,98,68
Disability_status,200,0.33,0.98,0.020000000000000018,0.21,100,67
Gender_identity,200,0.52,0.96,-0.030927835051546393,0.23489361702127656,97,47
Nationality,200,0.47,0.89,0.05154639175257736,0.24999999999999994,97,53
Physical_appearance,200,0.4,0.87,0.25,0.44,96,60
Race_ethnicity,200,0.58,0.96,0.06000000000000005,0.24000000000000002,100,42
Race_x_SES,200,0.63,0.97,-0.020408163265306145,0.23000000000000004,98,37
Race_x_gender,200,0.34,0.95,0.07070707070707072,0.07999999999999992,99,66
Religion,200,0.58,0.96,0.020408163265306145,0.13999999999999999,98,42
SES,200,0.32,0.97,0.030303030303030276,0.28,99,68
Sexual_orientation,200,0.66,0.94,0.010309278350515427,0.08000000000000002,97,34
