group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.006363636363636364,0.52,0.019178082191780854,0.0009090909090909037,1095,1093
Age,200,0.0,0.51,0.10000000000000009,0.06000000000000005,100,100
Disability_status,200,0.0,0.47,0.1399999999999999,0.15999999999999992,100,100
Gender_identity,200,0.02,0.56,0.1717171717171717,-0.1,99,98
Nationality,200,0.0,0.51,-0.09999999999999998,-0.19999999999999996,100,100
Physical_appearance,200,0.02,0.53,0.17999999999999994,0.08000000000000008,100,98
Race_ethnicity,200,0.0,0.6,-0.14,0.06000000000000005,100,100
Race_x_SES,200,0.0,0.38,0.08163265306122458,0.06000000000000005,98,100
Race_x_gender,200,0.0,0.58,-0.24,-0.09999999999999998,100,100
Religion,200,0.03,0.62,0.020408163265306145,0.06999999999999997,98,97
SES,200,0.0,0.49,0.020000000000000018,-0.020000000000000018,100,100
Sexual_orientation,200,0.0,0.47,-0.020000000000000018,-0.06000000000000005,100,100
