group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.0027272727272727275,0.7072727272727273,0.050909090909091015,0.05823490378234897,1100,1096
Age,200,0.0,0.71,0.08000000000000007,0.08000000000000007,100,100
Disability_status,200,0.0,0.61,0.040000000000000036,-0.18000000000000005,100,100
Gender_identity,200,0.0,0.69,-0.07999999999999996,0.030303030303030276,100,99
Nationality,200,0.0,0.74,-0.040000000000000036,-0.040000000000000036,100,100
Physical_appearance,200,0.01,0.67,0.30000000000000004,0.25000000000000006,100,99
Race_ethnicity,200,0.0,0.73,-0.040000000000000036,0.21999999999999997,100,100
Race_x_SES,200,0.0,0.74,0.10000000000000009,0.040000000000000036,100,100
Race_x_gender,200,0.0,0.75,-0.040000000000000036,-0.020000000000000018,100,100
Religion,200,0.02,0.65,-0.06000000000000005,0.0,100,98
SES,200,0.0,0.78,0.1399999999999999,0.1399999999999999,100,100
Sexual_orientation,200,0.0,0.71,0.15999999999999992,0.1200000000000001,100,100
