group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.007272727272727273,0.83,0.08181818181818179,0.24840929922506447,1100,1091
Age,200,0.0,0.79,0.15999999999999992,0.3400000000000001,100,100
Disability_status,200,0.0,0.76,0.17999999999999994,0.5800000000000001,100,100
Gender_identity,200,0.0,0.87,-0.07999999999999996,0.19191919191919182,100,99
Nationality,200,0.0,0.83,0.020000000000000018,0.17999999999999994,100,100
Physical_appearance,200,0.01,0.8,0.32000000000000006,0.5900000000000001,100,99
Race_ethnicity,200,0.0,0.91,0.08000000000000007,0.08000000000000007,100,100
Race_x_SES,200,0.0,0.83,0.0,0.06000000000000005,100,100
Race_x_gender,200,0.0,0.83,0.08000000000000007,0.020000000000000018,100,100
Religion,200,0.03,0.88,0.040000000000000036,0.2699999999999999,100,97
SES,200,0.04,0.83,0.19999999999999996,0.4000000000000001,100,96
Sexual_orientation,200,0.0,0.8,-0.09999999999999998,0.020000000000000018,100,100
