group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.007272727272727273,0.7963636363636364,0.07959743824336685,0.12647946004499622,1093,1091
Age,200,0.0,0.75,0.08000000000000007,0.15999999999999992,100,100
Disability_status,200,0.0,0.7,0.020000000000000018,0.0,100,100
Gender_identity,200,0.0,0.88,0.020000000000000018,0.19191919191919182,100,99
Nationality,200,0.0,0.85,-0.020000000000000018,0.17999999999999994,100,100
Physical_appearance,200,0.03,0.73,0.26,0.35000000000000003,100,97
Race_ethnicity,200,0.0,0.84,0.10000000000000009,-0.020000000000000018,100,100
Race_x_SES,200,0.01,0.81,0.16326530612244894,0.029999999999999975,98,99
Race_x_gender,200,0.0,0.8,-0.020000000000000018,0.020000000000000018,100,100
Religion,200,0.04,0.77,-0.03157894736842104,0.07999999999999993,95,96
SES,200,0.0,0.83,0.1200000000000001,0.19999999999999996,100,100
Sexual_orientation,200,0.0,0.8,0.17999999999999994,0.19999999999999996,100,100
