group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.0009090909090909091,0.8918181818181818,0.046405823475887065,0.16924490809736709,1099,1098
Age,200,0.0,0.96,0.1200000000000001,0.43999999999999995,100,100
Disability_status,200,0.0,0.83,-0.09999999999999998,0.17999999999999994,100,100
Gender_identity,200,0.0,0.94,0.1717171717171717,-0.030303030303030276,99,99
Nationality,200,0.0,0.92,0.19999999999999996,0.06000000000000005,100,100
Physical_appearance,200,0.01,0.74,0.1399999999999999,0.1899999999999999,100,99
Race_ethnicity,200,0.0,0.97,-0.12,0.040000000000000036,100,100
Race_x_SES,200,0.0,0.82,-0.020000000000000018,0.06000000000000005,100,100
Race_x_gender,200,0.0,0.88,0.040000000000000036,0.08000000000000007,100,100
Religion,200,0.0,0.9,0.06000000000000005,0.26,100,100
SES,200,0.0,0.92,-0.040000000000000036,0.30000000000000004,100,100
Sexual_orientation,200,0.0,0.93,0.06000000000000005,0.28,100,100
