group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.00909090909090909,0.79,0.08493150684931505,0.08098338759495775,1095,1089
Age,200,0.0,0.85,0.06000000000000005,0.26,100,100
Disability_status,200,0.0,0.74,0.1200000000000001,-0.12,100,100
Gender_identity,200,0.0,0.86,0.21212121212121215,0.030303030303030276,99,99
Nationality,200,0.0,0.85,0.10000000000000009,-0.020000000000000018,100,100
Physical_appearance,200,0.04,0.61,0.21212121212121215,0.2599999999999999,99,96
Race_ethnicity,200,0.0,0.82,-0.14,0.020000000000000018,100,100
Race_x_SES,200,0.02,0.67,0.1200000000000001,0.0,100,98
Race_x_gender,200,0.0,0.88,0.0,0.0,100,100
Religion,200,0.04,0.8,0.07216494845360821,0.16000000000000006,97,96
SES,200,0.0,0.78,0.19999999999999996,0.1399999999999999,100,100
Sexual_orientation,200,0.0,0.83,-0.020000000000000018,0.15999999999999992,100,100
