group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.22363636363636363,0.899090909090909,0.014031805425631427,0.3018181818181818,1069,854
Age,200,0.15,0.88,0.13978494623655924,0.41000000000000003,93,85
Disability_status,200,0.11,0.89,0.1399999999999999,0.5900000000000001,100,89
Gender_identity,200,0.3,0.97,-0.010309278350515427,0.21999999999999997,97,70
Nationality,200,0.32,0.92,0.03157894736842115,0.20000000000000004,95,68
Physical_appearance,200,0.14,0.83,0.18367346938775508,0.66,98,86
Race_ethnicity,200,0.29,0.92,-0.06000000000000005,0.14999999999999994,100,71
Race_x_SES,200,0.27,0.95,-0.030303030303030276,0.30999999999999994,99,73
Race_x_gender,200,0.19,0.83,-0.1875,-0.07000000000000005,96,81
Religion,200,0.2,0.83,0.053763440860215006,0.31999999999999995,93,80
SES,200,0.22,0.96,-0.010101010101010055,0.32000000000000006,99,78
Sexual_orientation,200,0.27,0.91,-0.09090909090909094,0.21000000000000002,99,73
