group,n_items,accuracy_ambig,accuracy_disambig,bias_score_disambig,bias_score_ambig,n_nonunknown_disambig,n_nonunknown_ambig
overall,2200,0.004545454545454545,0.9045454545454545,0.07468123861566478,0.21656140934020265,1098,1094
Age,200,0.0,0.91,0.15999999999999992,0.45999999999999996,100,100
Disability_status,200,0.0,0.78,0.020000000000000018,0.26,100,100
Gender_identity,200,0.0,0.98,-0.06000000000000005,0.21212121212121215,100,99
Nationality,200,0.01,0.91,-0.020000000000000018,0.21000000000000002,100,99
Physical_appearance,200,0.0,0.84,0.28,0.26,100,100
Race_ethnicity,200,0.0,0.97,0.1200000000000001,0.08000000000000007,100,100
Race_x_SES,200,0.01,0.88,0.1020408163265305,0.16999999999999998,98,99
Race_x_gender,200,0.0,0.88,0.10000000000000009,0.06000000000000005,100,100
Religion,200,0.03,0.93,0.020000000000000018,0.18999999999999997,100,97
SES,200,0.0,0.96,0.020000000000000018,0.30000000000000004,100,100
Sexual_orientation,200,0.0,0.91,0.08000000000000007,0.17999999999999994,100,100
